📺通知📺,#genre# 
欢迎使用STV,https://cloud.video.taobao.com//play/u/709608496/p/1/e/6/t/1/313698307735.mp4 
抖音随机直播,http://mmitv.top/test/douyin.php?id=top
===========,https://cloud.video.taobao.com//play/u/709608496/p/1/e/6/t/1/313341682455.mp4 
频道更新时间,https://cloud.video.taobao.com//play/u/709608496/p/1/e/6/t/1/313689895693.mp4 
2022年7月30日,https://link.jscdn.cn/189/aHR0cHM6Ly9jbG91ZC4xODkuY24vd2ViL3NoYXJlP2NvZGU9YWFlbUVudkE3Tkpu.mp4
资源均来自网络,https://link.jscdn.cn/189/aHR0cHM6Ly9jbG91ZC4xODkuY24vd2ViL3NoYXJlP2NvZGU9UlpmWTdycVFSdm15.mp4
请勿作商业用途,https://link.jscdn.cn/189/aHR0cHM6Ly9jbG91ZC4xODkuY24vd2ViL3NoYXJlP2NvZGU9YmlhQWpleVV2bXlx.mp4
感谢大家的支持,https://link.jscdn.cn/189/aHR0cHM6Ly9jbG91ZC4xODkuY24vd2ViL3NoYXJlP2NvZGU9eTZ2NkpmTW5tZXFp.mp4
频道如果有失效,https://link.jscdn.cn/189/aHR0cHM6Ly9jbG91ZC4xODkuY24vd2ViL3NoYXJlP2NvZGU9WnJ1SWZhcWlVTm51.mp4
我们会尽快处理,https://link.jscdn.cn/189/aHR0cHM6Ly9jbG91ZC4xODkuY24vd2ViL3NoYXJlP2NvZGU9TWJZWlp2ZmVVM0li.mp4
============,https://link.jscdn.cn/189/aHR0cHM6Ly9jbG91ZC4xODkuY24vd2ViL3NoYXJlP2NvZGU9WVozQXZxcU1GenFx.mp4

央视频道,#genre#
CCTV1,http://119.167.231.18/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8
CCTV1,http://39.134.65.183/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://120.221.40.68:6410/shandong_cabletv.live.zte.com////CHANNEL00000311/index.m3u8
CCTV1,http://183.207.249.9/PLTV/3/224/3221225530/1.m3u8
CCTV1,http://183.207.249.16/ott.js.chinamobile.com/PLTV/3/224/3221227431/index.m3u8
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV1,http://39.135.55.105:6610/PLTV/88888888/224/3221226995/index.m3u8?servicetype=1
CCTV1,http://ncyd.jilu8.cn/PLTV/88888910/224/3221226225/index.m3u8
CCTV1,http://39.134.65.179/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://183.207.249.16/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8
CCTV1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://120.221.40.68:6410/shandong_cabletv.live.zte.com////CHANNEL00000311/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.136.48.99:8089/PLTV/88888888/224/3221225859/index.m3u8
channel-id=wasusyt&Contentid=8813322615956633846&livemode=1&stbId=no
CCTV1,http://hms323nc1880172767.live.aikan.miguvideo.com/wh7f454c46tw2178815830_-1312484768/PLTV/88888888/224/3221230242/1.m3u8
CCTV1,http://39.134.116.30:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1,http://39.135.32.22:6610/000000001000/1000000001000018602/index.m3u8?
CCTV1,http://39.135.55.7:6610/PLTV/88888888/224/3221227014/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV1,http://39.134.116.30:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.134.116.30:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV1,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888910/224/3221225762/index.m3u8
CCTV1,http://39.134.32.103:6610/270000001111/1110000151/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.135.55.105:6610/PLTV/88888888/224/3221226908/index.m3u8?servicetype=1
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV1,http://39.135.55.72:6610/PLTV/88888888/224/3221227014/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8
CCTV1,http://39.135.55.13:6610/PLTV/88888888/224/3221227014/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV1,http://182.151.211.171:808/hls/1/index.m3u8
CCTV1,http://39.134.67.98/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225918/index.m3u8
CCTV1,http://cache.ott.fifalive.itv.cmvideo.cn:80/6000000001000029752/index.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=no
CCTV1,http://39.135.55.105:6610/PLTV/88888888/224/3221225829/index.m3u8?servicetype=1
CCTV1,http://111.59.189.40:8445/tsfile/live/1000_1.m3u8
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://183.207.249.15/PLTV/3/224/3221225530/index.m3u8
CCTV1,http://39.134.32.101:6610/270000001111/1110000199/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.135.55.7:6610/PLTV/88888888/224/3221226915/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV1,http://39.134.65.142/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.135.55.72:6610/PLTV/88888888/224/3221226995/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV1,http://183.196.25.171:808/hls/1/index.m3u8
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225762/index.m3u8
CCTV1,http://39.134.32.103:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1,http://39.136.48.7:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://39.134.32.103:6610/270000001111/1110000146/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.134.32.101:6610/270000001111/1110000151/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.135.55.105:6610/PLTV/88888888/224/3221225922/index.m3u8?servicetype=1
CCTV1,http://39.135.55.105:6610/PLTV/88888888/224/3221226599/index.m3u8?servicetype=1
CCTV1,http://39.135.49.20:6610/PLTV/88888888/224/3221226995/1.m3u8?servicetype=1
CCTV1,http://39.135.32.30:6610/PLTV/77777777/224/3221225674/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV1,http://ncyd.jilu8.cn/PLTV/88888910/224/3221226221/index.m3u8
CCTV1,http://ktwlplkf.f3322.org:9901/tsfile/live/0001_1.m3u8
CCTV1,http://39.134.65.181/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV1,http://117.169.120.244:8080/wh7f454c46tw2520989601_203106496/hwrr.jx.chinamobile.com/PLTV/88888910/224/3221225618/index.m3u8?icpid=88888910&RTS=1648965019&from=79102&ocs=2_117.169.120.241_8080&hms_devid=1402&online=1648965019&vqe=3
CCTV1,http://39.136.48.2:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://39.135.49.20:6610/PLTV/88888888/224/3221227014/1.m3u8?servicetype=1
CCTV1,http://39.135.49.20:6610/PLTV/88888888/224/3221226908/1.m3u8?servicetype=1
CCTV1,http://39.135.49.20:6610/PLTV/88888888/224/3221225922/1.m3u8?servicetype=1
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.135.49.20:6610/PLTV/88888888/224/3221225829/1.m3u8?servicetype=1
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.135.55.7:6610/PLTV/88888888/224/3221226908/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV1,http://39.134.65.141/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.32.108:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.134.32.101:6610/270000001111/1110000023/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.135.55.7:6610/PLTV/88888888/224/3221226995/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.134.67.99/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,http://39.134.32.101:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.136.48.5:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://39.135.32.10:6610/000000001000/HD-4000k-1080P-cctv1/1.m3u8?IASHttpSessionId=OTT
CCTV1,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
